iter   Level 01   Level 05   Level 10   Level 15   Level 20
  1:         98         34         31         24         34
  2:         45         17         31         35         29
  3:         31         42         21         40         30
  4:         55         34         50         28         21
  5:         41         40         37         32         25
  6:         71         39         38         30         26
  7:         56         35         33         28         22
  8:         46         29         17         33         19
  9:         51         41         60         43         26
 10:         34         17         31         34         16
 11:         52         35         31         41         31
 12:         36         31         25         34         28
 13:         49         43         19         32         26
 14:         43         46         39         25         27
 15:         43         30         45         29         32
 16:         37         21         32         39         29
 17:         25         30         30         43         24
 18:         40         29         38         45         26
 19:        113         73         34         22         30
 20:         34         29         21         42         27
 21:         33         26         49         29         25
 22:         27         42         31         35         29
 23:         47         66         40         28         27
 24:         37         42         34         28         38
 25:         65         30         26         27         29
 26:         58         31         30         30         29
 27:         48         31         23         33         34
 28:         52         30         19         33         36
 29:         38         45         53         19         33
 30:         55         35         38         36         26
 31:         32         28         22         21         28
 32:         39         81         26         30         26
 33:         39         43         29         47         28
 34:         38         43         42         34         29
 35:         28         35         27         26         27
 36:         25         25         52         36         27
 37:         45         25         36         35         35
 38:          7         35         47         35         37
 39:         37         29         35         36         20
 40:         35         30         27         35         24
 41:         48         32         37         25         18
 42:         35         35         25         31         38
 43:         38         26         27         26         28
 44:         42         64         42         20         26
 45:         42         28         35         31         32
 46:         40         35         33         30         27
 47:         36         53         41         29         31
 48:         29         37         34         29         28
 49:         28         34         38         37         23
 50:         40         25         39         24         33
win:          0          0          0          0          0
