iter   Level 01   Level 05   Level 10   Level 15   Level 20
  1:         27         42         51         31         27
  2:         45         41         31         19         27
  3:         24         37         35         32         28
  4:         17         28         38         20         21
  5:         44         33         51         32         27
  6:         55         38         27         32         20
  7:         57         41         40         34         34
  8:         37         55         25         36         38
  9:         35         12         28         27         21
 10:         20         48         29         39         34
 11:         51         27         32         30         35
 12:         50         61         25         34         28
 13:         43         42         23         20         27
 14:         38         21         38         34         28
 15:         16         34         15         36         16
 16:         34         41         34         25         20
 17:         29         34         26         32         29
 18:         35         42         27         26         29
 19:         43         34         30         41         26
 20:         40         51         32         35         31
 21:         30         34         35         34         31
 22:         32         46         18         30         30
 23:         36         29         24         29         27
 24:         74         39         24         31         20
 25:         58         41         35         17         19
 26:         36         51         27         42         35
 27:         37         29         27          6         33
 28:         37         31         29         23         40
 29:         33         37         25         13         33
 30:         45         18         31         26         20
 31:         38         38         37         29         21
 32:         91         47         42         20         21
 33:         43         49         67         26         37
 34:         82         30         30         41         21
 35:         40         28         36         26         24
 36:         32         32         29         21         26
 37:         33         29         15         40         28
 38:         28         24         35         25         31
 39:         20         35         39         22         31
 40:         27         21         30         19         14
 41:         28         30         29         29         28
 42:         30         17         31         25         25
 43:         43         31         24         17         12
 44:         56         35         30         33         24
 45:         35         24         31         25         21
 46:         11         53         32         32         16
 47:         41         36          6         32         31
 48:         38         37         44         37         30
 49:         29         24         21         25         31
 50:         21         36         36         33         24
win:          0          0          0          0          0
