iter   Level_01   Level_05   Level_10   Level_15   Level_20
  1:         29         25         16         22         29
  2:         46          5         30         34         30
  3:         42         33         34         29         48
  4:         36         51         25         34         32
  5:         33         22         51         41         38
  6:         26         36         12         28         29
  7:         35         25         24         33         25
  8:         39         30         15         30         39
  9:         27         24         27         26         25
 10:         62         35         52         17         34
 11:         58         36         38         19         37
 12:         57         19         28         22         25
 13:         66         47         18         34         17
 14:         39          8         26         27         29
 15:         46         26         21         42         18
 16:         57         18         34         37         27
 17:         73         33         32         18         33
 18:         30         48         23         34         34
 19:         40         67         32         42         21
 20:         27         24          9         55         27
 21:         43         21         44         19          9
 22:         25         20         28         20         36
 23:         13         23         15         30         18
 24:         79         67         22         41         28
 25:         34         24         20         16         22
 26:         20         54         28         34         33
 27:         25         34         35         32         30
 28:         30         14         30         29         28
 29:         35         18         38         44         34
 30:         48         21         26         24         34
 31:         31         37         22         37         38
 32:         39         36         27         43         28
 33:         49         39         33         29         32
 34:         34         29         17         36         38
 35:         44         77         11         25         41
 36:         23         22         37         26         40
 37:         39         23         17         22         35
 38:         37         19         27         33         22
 39:         49         90         45         29         29
 40:         43         32         37         19         26
 41:         61         15         13         35         32
 42:         44         39         36         23         22
 43:         45         32         21         37         29
 44:         33         25         27         30         40
 45:         59         46         25         35         30
 46:         36         43         47         35         38
 47:         14         31         32         44         45
 48:         43         34         32         21         27
 49:         33         50         28         22         30
 50:         52         57         46         31         42
win:          0          0          0          0          0
