iter   Level_01   Level_05   Level_10   Level_15   Level_20
  1:         26         20         38         28         32
  2:         33         44         41         32         32
  3:         43         51         15         40         29
  4:         39         38         25         31         21
  5:         43         39         50         35         26
  6:         17         30         25         11         28
  7:         22         34         28         45         41
  8:         29         44          8         37         37
  9:         42         29         40         28         32
 10:         63         38          8         22         17
 11:         40         30         37         28         49
 12:         29         43         31         33         22
 13:         63         34         23         26         20
 14:         43         21         29         37         27
 15:         33         26         26         28         26
 16:         46         39         58         34         33
 17:         21         37         21         18         25
 18:         45         20         38         24         23
 19:         74         34         19         18         17
 20:         71         17         32         35         28
 21:         46         24         34         31         35
 22:         59         21         28         19         23
 23:         24         59         50         35         29
 24:         57         27         23         25         17
 25:         20         14         25         28         23
 26:         21         32         34         51         23
 27:         62         40         43         17         29
 28:         25         46         30         30         15
 29:         41         38         27         29         28
 30:         28         34         37         32         22
 31:         31         40         24         33         34
 32:         51         39         33         28         30
 33:         53         36         26         23         27
 34:         56         36         46         27         31
 35:         40         43         51         39         24
 36:         41         40         33         38         26
 37:         29         39         28         30         26
 38:         36         47         29         19         24
 39:         41         33         18         57         22
 40:         36         45         33         35         21
 41:         18         30         36         27         22
 42:         60         44         31         34         17
 43:         35         23         16         21         33
 44:         27         39         11         24         35
 45:         30         50         15         46         25
 46:         38         47         34         22         29
 47:         38         40         38         30         33
 48:         25         64         23         26         27
 49:         31         41         46         33         31
 50:         40         27         43         35         25
win:          0          0          0          0          0
