iter   Level_01   Level_05   Level_10   Level_15   Level_20
  1:         53         22         29         27         25
  2:         41         37         34         25         31
  3:         46         36         43         28         19
  4:         40         30         29         34         19
  5:         38         27         19         29         28
  6:         38         37         26         39         24
  7:         45         60         44         28         27
  8:         60         40         41         32         23
  9:         29         32         41         35         18
 10:         42         31         40         28         27
 11:         54         36         29         30         34
 12:         52         25         43         16         23
 13:         15         45         43         34         23
 14:         39         31         30         43         33
 15:         22         38         31         25         31
 16:         22         39         30         35         34
 17:         56         42         19         37         31
 18:         56         33         45         18         32
 19:         36         27         32         29         29
 20:         49         37         39         33         30
 21:         48         37         26         20         32
 22:         40         53         31         40         25
 23:         41         21         44         27         27
 24:         31         58         31         35         24
 25:         43         43         23         31         35
 26:         38         48         39         37         36
 27:         58         49         45         29         29
 28:         15         27         15         38         30
 29:         23         34         47         36         29
 30:         78         19         39         28         28
 31:         23         40         28         31         25
 32:         40         27         30         35         37
 33:         38         27         28         15         33
 34:         40         29         37         27         33
 35:         27         31         49         17         23
 36:         29         16         38         28         27
 37:         24         20         25         25         29
 38:         43         26         35         31         24
 39:         30         33         25         20         27
 40:         39         39         40         33         41
 41:         37         55         22         32         26
 42:         34         41         26         31         32
 43:         37         17         37         26         29
 44:         35         49         33         31         26
 45:         55         41         48         31         26
 46:         39         37         37         22         26
 47:         30         24         47         13         29
 48:         44         30         47         34         24
 49:         57         35         29         25         37
 50:         55         50         38         33         29
win:          0          0          0          0          0
