iter   Level_01   Level_05   Level_10   Level_15   Level_20
  1:         53         44         36         26         29
  2:         27         33         19         20         20
  3:         27         38         39         23         30
  4:         56         34         29         39         28
  5:         71         39         23         13         27
  6:         27         21         31         31         33
  7:         37         35         26         30         31
  8:         23         24         32         35         17
  9:         62         38         31         29         19
 10:         55         38         35         32         19
 11:         39         38         30         40         32
 12:         22         43         48         19         31
 13:         49         21         19         27         20
 14:         34         27         30         22         18
 15:         47         35         32         31         29
 16:         75         27         37         32         34
 17:         27         33         29         42         23
 18:         11         10         21         36         23
 19:         31         39         26         29         12
 20:         38         27         33         25         34
 21:         32         36         32         27         30
 22:         47         37         27         19         17
 23:         37         29         36         25         37
 24:         28         33         24         31         24
 25:         49         46         20         24         37
 26:         73         31         44         31         30
 27:         25         38         20         28         27
 28:         27         44         33         38         21
 29:         42         45         25         30         28
 30:         33         29         22         36         20
 31:         31         28         29         32         25
 32:         40         45         34         24         20
 33:         41         11         12         34         21
 34:         48         26         25         21         31
 35:         35         16         31         38         15
 36:         28         29         26         52         28
 37:         65         24         23         23         14
 38:         26         25         13         21         24
 39:         34         39         19         25         20
 40:         31         38         51         28         28
 41:         40         36         33         25         27
 42:         23         37         27         19         33
 43:         48         19         28         15         19
 44:         36         46         19         44         28
 45:         21         34         31         27         37
 46:         49         72         31         26         24
 47:         45         31         47         34         39
 48:         30         42         34         37         33
 49:         53         11         32         27         28
 50:         32         54         35         24         19
win:          0          0          0          0          0
