iter   Level_01   Level_05   Level_10   Level_15   Level_20
  1:         62         48         26         25         20
  2:         32         39         77         34         22
  3:         64         58         28         30         32
  4:         45         40         33         28         28
  5:         25         32         26         24         37
  6:         48         31         39         35         23
  7:         36         29         42         22         24
  8:         81         33         34         28         21
  9:         43         28         27         25         30
 10:         28         50         35         29         30
 11:         44         42         32         24         30
 12:         45         49         33         15         26
 13:         37         46         38         32         32
 14:         38         33         22         29         29
 15:         33         46         23         23         30
 16:         35         25         34         40         24
 17:         72         40         33         32         28
 18:         30         18         17         28         28
 19:         39         37         32         37         20
 20:         33         27         28         48         28
 21:         47         34         29         28         25
 22:         38         48         24         37         18
 23:         48         34         28         38         24
 24:         37         74         39         26         30
 25:         48         51         26         24         27
 26:         50         35         45         32         23
 27:         57         20         27         40         29
 28:         34         49         41         37         33
 29:         66         39         27         36         15
 30:         24         33         28         37         28
 31:         50         34         28         31         26
 32:         29         39         38         47         29
 33:         48         34         31         27         24
 34:         42         37         37         32         30
 35:         28         29         34         30         31
 36:         20         34         29         40         19
 37:         27         46         54         29         21
 38:         39         51         26         40         18
 39:         32         52         14         22         32
 40:         47         38         22         38         36
 41:         33         36         24         46         31
 42:         39         31         42         20         34
 43:         29         31         28         31         27
 44:         49         42         28         24         38
 45:         58         33         39         31         29
 46:         45         52         31         24         26
 47:         48         44         30         35         25
 48:         26         37         25         34         18
 49:         23         24         29         32         35
 50:         34         42         30         35         25
win:          0          0          0          0          0
