iter   Level_01   Level_05   Level_10   Level_15   Level_20
  1:         48         22         20         16         23
  2:         39         32          9         30         17
  3:         20         35         27         34         28
  4:         61         43         22         40         16
  5:         58         36         10         27         25
  6:         49         22         74         42         26
  7:         20         21         24         33         58
  8:         32         32         43         28         12
  9:         47         15         17         25         17
 10:         34         38         19         34         30
 11:         57         18         43         27         23
 12:         16         25         37         21         25
 13:         26         45         23         30         23
 14:         30         40         38         31         20
 15:         50         34         35         19          9
 16:         43         30         23         32          9
 17:         32         47         21         19         10
 18:         33         35         37         34         10
 19:         38         34         33         27         19
 20:         40         50         21         30         15
 21:         59         52         32         22         25
 22:         25         31         42         23         27
 23:         27         21         40         31         27
 24:         50         27         35         29         27
 25:         37         32         41         35         36
 26:         25         51         53         16         22
 27:         22         12         28         14         34
 28:         47         42         28         34         40
 29:         67         47         41         47         23
 30:         79         29         33         22         18
 31:         39         30         30         30         27
 32:         51         47         26         33         32
 33:         28         50         70         42         28
 34:         40         21         42         18         27
 35:         68         24         38         35         21
 36:         20         16         37         34         27
 37:         32         29         31         17         18
 38:         59         35         23         32         19
 39:         38         63         34         34         17
 40:         58         26         52         25         29
 41:         35         50         58         51         23
 42:         38         30         13         49         26
 43:         37         41         35         27         31
 44:         42         59         22         24         21
 45:          6         24         23         33         23
 46:         63         34         40         33         21
 47:         32         31         22         16         14
 48:         31         51         47         30         30
 49:         20         27         25         26         22
 50:         39         27         36         22         27
win:          0          0          0          0          0
