iter   Level_01   Level_05   Level_10   Level_15   Level_20
  1:         53         27         19         32         12
  2:         36         31         35         47         34
  3:         29         39         16         34         23
  4:         41         39         33         36         22
  5:         27         47         30         35         34
  6:         31         47         41         14         31
  7:         52         16         48         13         30
  8:         45         34         26         26         27
  9:         83         46         37         27         29
 10:         26         37         39         26         26
 11:         43         38         35         24         41
 12:         38         41         29         29         31
 13:         45         33         35         43         32
 14:         23         41         21         29         15
 15:         36         19         26         43         13
 16:         41         32         40         19         18
 17:         43         25         32         21         30
 18:         33         47         25         31         18
 19:         44         39         49         42         20
 20:         30         44         25         26         24
 21:         32         43         19         22         33
 22:         35         18         33         24         27
 23:         52         32         29         19         17
 24:         28         39         22         32         13
 25:         38         40         20         20         22
 26:         35         35         31         34         17
 27:         24         44         31         16         26
 28:         52         29         25         29         25
 29:         30         38         32         33         27
 30:         85         34         24         31         24
 31:         50         19         49          9         23
 32:         48         19         35         28         23
 33:         57         20         29         21         24
 34:         35         30         34         15         27
 35:         25         33         30         35         25
 36:         52         27         29         20         20
 37:         37         33         42          9         29
 38:         25         33         46         34          9
 39:         50         28         32         16         17
 40:         25         37         15         24         37
 41:         85         54         26         36         17
 42:         53         32         27         21         28
 43:         18         28         24         29         16
 44:         53         30         16         22         31
 45:         43         35         23         25         33
 46:         52         37         36         16         24
 47:         62         37         34         39         24
 48:         47         31         33         27         23
 49:         35         45         32         24         26
 50:         59         33         26         21         36
win:          0          0          0          0          0
