iter   Level_01   Level_05   Level_10   Level_15   Level_20
  1:         51         33         30         27         24
  2:         55         22         34         26         21
  3:         38         49         34         21         32
  4:         40         28         35         34         38
  5:         41         45         34         27         23
  6:         30         34         28         37         26
  7:         39         24         35         34         28
  8:         56         46         26         30         24
  9:         99         29         40         34         27
 10:         21         48         29         34         31
 11:         37         29         23         33         24
 12:         40         22         31         30         41
 13:         61         42         29         26         27
 14:         39         37         28         27         31
 15:         63         50         27         34         27
 16:         46         14         29         32         30
 17:         74         32         33         15         27
 18:         33         28         41         25         34
 19:         28         31         29         20         40
 20:         49         34         32         40         32
 21:         70         43         26         25         29
 22:         42         36         33         36         34
 23:         27         38         23         26         28
 24:         78         35         23         15         29
 25:         20         44         26         35         24
 26:         63         32         24         46         24
 27:         38         38         38         30         21
 28:         27         50         22         32         27
 29:         25         32         36         27         31
 30:         31         38         19         31         28
 31:         82         38         38         19         31
 32:         31         34         37         45         35
 33:         36         21         26         38         30
 34:         30         27         31         39         38
 35:         42         41         32         27         35
 36:         44         28         43         36         31
 37:         27         41         35         24         27
 38:         30         43         30         26         27
 39:         25         31         33         37         32
 40:         36         45         32         33         28
 41:         19         26         24         21         32
 42:         17         38         32         22         29
 43:         37         34         46         31         25
 44:         45         27         33         40         28
 45:         47         41         13         20         28
 46:         38         38         28         41         30
 47:         47         31         23         26         29
 48:         17         32         20         34         25
 49:         44         62         39         38         31
 50:         41         19         37         52         28
win:          0          0          0          0          0
