iter   Level 01   Level 05   Level 10   Level 15   Level 20
  1:         31         48         34         40         23
  2:         25         30         22         30         17
  3:         43         20         19         46         26
  4:         27         26         22         39         30
  5:         32         37         16         24         17
  6:         39         21         44         26         24
  7:         49         40         23         36         27
  8:         29         40         23         24         32
  9:         48         31         23         26         11
 10:         27         47         17         45         29
 11:         34         33         32         31         26
 12:         28         31         17         19         27
 13:         39         33         26         13         31
 14:         54         36         37         23         24
 15:         30         39         27         46         28
 16:         36         25         24         32         26
 17:         33         31         18         36         28
 18:         64         18         30         26         13
 19:         33         40         24         42         21
 20:         43         45         36         38         16
 21:         58         35         36         34         23
 22:         31         28         35         22         36
 23:         44         21         25         24         26
 24:         39         29         19         19         24
 25:         23         16         47         31         20
 26:         56         13         28         21         24
 27:         29         38         36         34         32
 28:         36         21         27         36         36
 29:         26         45         21         32         34
 30:         53         48         25         39         37
 31:         40         40         14         24         37
 32:         60         32         35         40         21
 33:         16         26         26         20         36
 34:         39         28         18         39         34
 35:         15         25         29         17         23
 36:         35         26         34         27         27
 37:         35         41         29         29         31
 38:         34         24         27         36         39
 39:         41         42         33         28         39
 40:         59         41         34         32         27
 41:         35         38         19         27         28
 42:         23         37         39         27         36
 43:         31         39         27         38         27
 44:         61         45         27         29         26
 45:         80         20         31         30         29
 46:         48         33         23         19         23
 47:         35         29         17         33         24
 48:         37         23         18         32         35
 49:         23         27         11         30         31
 50:         37         38         32         19         24
